Precinct,BIDEN,TRUMP,Jo Jorgensen,Brian Carroll,Jade Simmons,President Boddie,Don Blankenship,Brock Pierce,Tom Hoefling,Gloria La Riva,Alyson Kennedy,Kanye West,Bill Hammons,Jo Jorgensen,OTHERS
Acadia 01 01,49,713,5,1,0,0,0,0,2,0,0,2,0,5,15
Acadia 01 02A,76,140,4,1,0,0,1,0,0,0,0,1,2,4,13
Acadia 01 02B,28,209,3,1,1,0,0,0,0,0,0,0,0,3,8
Acadia 01 03A,36,278,6,0,0,0,0,0,0,0,0,2,0,6,14
Acadia 01 03B,70,204,2,0,0,0,0,0,0,0,0,1,1,2,6
Acadia 01 04A,24,217,1,2,0,0,1,0,0,0,0,0,0,1,5
Acadia 01 04B,58,234,5,0,1,0,0,0,0,0,0,1,1,5,13
Acadia 01 05A,43,151,2,0,0,0,0,0,0,0,0,1,0,2,5
Acadia 01 05B,106,86,3,1,0,0,1,1,0,0,0,0,0,3,9
Acadia 01 06,230,21,4,1,1,1,0,0,0,0,0,2,0,4,13
Acadia 01 07,185,52,2,2,2,0,0,0,0,0,0,1,0,2,9
Acadia 01 08,88,363,4,1,0,0,0,0,0,0,0,1,0,4,10
Acadia 01 09,25,358,4,1,2,1,0,0,0,0,0,1,0,4,13
Acadia 02 01,37,672,5,0,0,0,0,0,0,0,0,1,1,5,12
Acadia 02 02,17,499,7,1,0,0,0,1,0,0,0,0,0,7,16
Acadia 02 03,54,285,2,0,1,1,0,0,0,0,0,0,0,2,6
Acadia 02 04,20,351,2,0,0,0,0,0,0,0,1,1,0,2,6
Acadia 02 05,26,303,4,1,0,0,0,0,0,0,0,1,0,4,10
Acadia 03 01,128,437,8,1,0,0,0,0,0,0,1,0,0,8,18
Acadia 03 02,26,517,3,0,0,0,0,0,0,0,0,1,0,3,7
Acadia 03 03A,90,500,2,0,0,0,2,0,0,0,0,0,0,2,6
Acadia 03 03B,90,196,5,0,1,0,0,0,0,0,0,1,0,5,12
Acadia 03 04,269,42,2,0,0,0,0,0,0,0,0,0,0,2,4
Acadia 03 05,23,193,4,0,0,0,0,0,0,0,0,1,0,4,9
Acadia 03 06,36,217,2,0,0,0,0,0,0,0,0,0,0,2,4
Acadia 03 07,67,510,5,0,1,0,0,0,0,0,0,3,0,5,14
Acadia 04 01,27,401,2,0,0,0,0,0,0,0,0,0,0,2,4
Acadia 04 02,49,405,2,2,0,1,0,0,0,0,0,0,0,2,7
Acadia 04 04,41,704,7,0,0,0,1,0,0,0,0,1,0,7,16
Acadia 04 05,20,515,2,0,0,0,1,0,1,0,0,0,0,2,6
Acadia 04 06,26,379,3,0,0,0,0,0,0,0,0,1,0,3,7
Acadia 05 01A,24,191,2,0,0,1,0,0,0,0,0,0,0,2,5
Acadia 05 02A,32,234,3,0,0,0,0,0,0,1,0,0,0,3,7
Acadia 05 03,16,401,3,0,0,0,1,0,0,0,0,0,0,3,7
Acadia 05 04,20,269,5,0,0,0,0,0,0,1,0,0,1,5,12
Acadia 05 05,13,128,2,0,0,0,0,0,0,1,0,0,0,2,5
Acadia 06 01,219,109,2,0,0,0,0,0,0,0,0,1,0,2,5
Acadia 06 02,36,168,1,0,1,0,0,0,0,0,0,0,0,1,3
Acadia 06 03A,98,120,3,0,0,0,0,0,0,0,0,2,0,3,8
Acadia 06 03B,5,112,0,0,0,0,1,0,0,0,0,0,0,0,1
Acadia 06 04,120,211,6,0,0,0,0,0,0,0,0,1,0,6,13
Acadia 06 06,120,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Acadia 06 07,33,171,4,1,0,0,0,0,0,0,0,0,0,4,9
Acadia 06 08,45,243,1,1,0,0,0,0,0,0,0,1,0,1,4
Acadia 06 09,15,142,2,0,1,0,1,0,0,0,0,0,0,2,6
Acadia 06 10,17,158,1,0,0,0,0,0,0,0,0,0,0,1,2
Acadia 06 11,221,2,1,0,1,1,0,0,0,0,0,2,0,1,6
Acadia 06 12,40,226,4,0,0,0,1,0,0,0,0,1,0,4,10
Acadia 06 13,7,125,2,0,0,0,0,0,0,0,0,1,0,2,5
Acadia 06 14,16,370,4,0,0,0,0,0,0,0,0,0,0,4,8
Acadia 06 15,6,125,2,0,1,0,0,0,0,0,0,0,0,2,5
Acadia 06 16,14,172,4,0,0,0,0,0,0,0,0,0,0,4,8
Acadia 07 02,50,382,2,0,0,0,0,0,0,0,0,1,0,2,5
Acadia 07 03,26,640,5,0,0,0,0,1,0,0,0,1,0,5,12
