ID Household Income Bucket,Household Income Bucket,ID Year,Year,Household Income,Household Income Moe,Geography,ID Geography,Slug Geography,share
0,"< $10,000",2020,2020,7145751,24748,United States,01000US,united-states,0.058402163
1,"$10,000-$14,999",2020,2020,5020097,17141,United States,01000US,united-states,0.04102921
2,"$15,000-$19,999",2020,2020,5030224,16026,United States,01000US,united-states,0.041111978
3,"$20,000-$24,999",2020,2020,5329476,20676,United States,01000US,united-states,0.043557762
4,"$25,000-$29,999",2020,2020,5187269,18811,United States,01000US,united-states,0.042395506
5,"$30,000-$34,999",2020,2020,5382215,20154,United States,01000US,united-states,0.043988798
6,"$35,000-$39,999",2020,2020,4960174,20596,United States,01000US,united-states,0.04053946
7,"$40,000-$44,999",2020,2020,5128434,16706,United States,01000US,united-states,0.041914648
8,"$45,000-$49,999",2020,2020,4601774,18581,United States,01000US,united-states,0.03761026
9,"$50,000-$59,999",2020,2020,9122890,26253,United States,01000US,united-states,0.074561303
10,"$60,000-$74,999",2020,2020,11911889,32548,United States,01000US,united-states,0.097355768
11,"$75,000-$99,999",2020,2020,15613243,47722,United States,01000US,united-states,0.127606903
12,"$100,000-$124,999",2020,2020,11455250,46295,United States,01000US,united-states,0.093623662
13,"$125,000-$149,999",2020,2020,7673688,38871,United States,01000US,united-states,0.062716987
14,"$150,000-$199,999",2020,2020,8688154,41715,United States,01000US,united-states,0.071008209
15,"$200,000+",2020,2020,10103691,51548,United States,01000US,united-states,0.082577381
0,"< $10,000",2020,2020,14825,1071,District 1,50000US3401,congressional-district-1-nj,0.054106037
1,"$10,000-$14,999",2020,2020,9927,897,District 1,50000US3401,congressional-district-1-nj,0.036230059
2,"$15,000-$19,999",2020,2020,10263,856,District 1,50000US3401,congressional-district-1-nj,0.037456341
3,"$20,000-$24,999",2020,2020,10937,911,District 1,50000US3401,congressional-district-1-nj,0.039916204
4,"$25,000-$29,999",2020,2020,10296,894,District 1,50000US3401,congressional-district-1-nj,0.037576779
5,"$30,000-$34,999",2020,2020,10885,1081,District 1,50000US3401,congressional-district-1-nj,0.039726422
6,"$35,000-$39,999",2020,2020,8751,808,District 1,50000US3401,congressional-district-1-nj,0.031938073
7,"$40,000-$44,999",2020,2020,9933,1006,District 1,50000US3401,congressional-district-1-nj,0.036251957
8,"$45,000-$49,999",2020,2020,8470,784,District 1,50000US3401,congressional-district-1-nj,0.030912522
9,"$50,000-$59,999",2020,2020,18927,1212,District 1,50000US3401,congressional-district-1-nj,0.069076894
10,"$60,000-$74,999",2020,2020,26486,1410,District 1,50000US3401,congressional-district-1-nj,0.096664586
11,"$75,000-$99,999",2020,2020,35546,1344,District 1,50000US3401,congressional-district-1-nj,0.1297304
12,"$100,000-$124,999",2020,2020,28596,1147,District 1,50000US3401,congressional-district-1-nj,0.104365344
