ID Household Income Bucket,Household Income Bucket,ID Year,Year,Household Income,Household Income Moe,Geography,ID Geography,Slug Geography,share
0,"< $10,000",2020,2020,7145751,24748,United States,01000US,united-states,0.058402163
1,"$10,000-$14,999",2020,2020,5020097,17141,United States,01000US,united-states,0.04102921
2,"$15,000-$19,999",2020,2020,5030224,16026,United States,01000US,united-states,0.041111978
3,"$20,000-$24,999",2020,2020,5329476,20676,United States,01000US,united-states,0.043557762
4,"$25,000-$29,999",2020,2020,5187269,18811,United States,01000US,united-states,0.042395506
5,"$30,000-$34,999",2020,2020,5382215,20154,United States,01000US,united-states,0.043988798
6,"$35,000-$39,999",2020,2020,4960174,20596,United States,01000US,united-states,0.04053946
7,"$40,000-$44,999",2020,2020,5128434,16706,United States,01000US,united-states,0.041914648
8,"$45,000-$49,999",2020,2020,4601774,18581,United States,01000US,united-states,0.03761026
9,"$50,000-$59,999",2020,2020,9122890,26253,United States,01000US,united-states,0.074561303
10,"$60,000-$74,999",2020,2020,11911889,32548,United States,01000US,united-states,0.097355768
11,"$75,000-$99,999",2020,2020,15613243,47722,United States,01000US,united-states,0.127606903
12,"$100,000-$124,999",2020,2020,11455250,46295,United States,01000US,united-states,0.093623662
13,"$125,000-$149,999",2020,2020,7673688,38871,United States,01000US,united-states,0.062716987
14,"$150,000-$199,999",2020,2020,8688154,41715,United States,01000US,united-states,0.071008209
15,"$200,000+",2020,2020,10103691,51548,United States,01000US,united-states,0.082577381
11,"$75,000-$99,999",2020,2020,35546,1344,District 1,50000US3401,congressional-district-1-nj,0.1297304
11,"$75,000-$99,999",2020,2020,35096,1505,District 2,50000US3402,congressional-district-2-nj,0.129908683
11,"$75,000-$99,999",2020,2020,40691,1593,District 3,50000US3403,congressional-district-3-nj,0.142304088
15,"$200,000+",2020,2020,45034,1314,District 4,50000US3404,congressional-district-4-nj,0.164711734
15,"$200,000+",2020,2020,57362,1852,District 5,50000US3405,congressional-district-5-nj,0.215213762
15,"$200,000+",2020,2020,35136,1520,District 6,50000US3406,congressional-district-6-nj,0.136783014
15,"$200,000+",2020,2020,70278,1540,District 7,50000US3407,congressional-district-7-nj,0.26089765
15,"$200,000+",2020,2020,32275,1123,District 8,50000US3408,congressional-district-8-nj,0.112183999
11,"$75,000-$99,999",2020,2020,32316,1350,District 9,50000US3409,congressional-district-9-nj,0.120119986
11,"$75,000-$99,999",2020,2020,33121,1596,District 10,50000US3410,congressional-district-10-nj,0.120448322
15,"$200,000+",2020,2020,67677,1478,District 11,50000US3411,congressional-district-11-nj,0.246972915
15,"$200,000+",2020,2020,44875,1435,District 12,50000US3412,congressional-district-12-nj,0.166187085
0,"< $10,000",2020,2020,154067,3434,New Jersey,04000US34,new-jersey,0.047085714
1,"$10,000-$14,999",2020,2020,100910,2778,New Jersey,04000US34,new-jersey,0.030839956
2,"$15,000-$19,999",2020,2020,105337,2177,New Jersey,04000US34,new-jersey,0.032192928
3,"$20,000-$24,999",2020,2020,113786,2893,New Jersey,04000US34,new-jersey,0.03477509845
4,"$25,000-$29,999",2020,2020,105225,2430,New Jersey,04000US34,new-jersey,0.032158699
5,"$30,000-$34,999",2020,2020,111896,2692,New Jersey,04000US34,new-jersey,0.03419748
6,"$35,000-$39,999",2020,2020,100528,3110,New Jersey,04000US34,new-jersey,0.03072320934
7,"$40,000-$44,999",2020,2020,102482,2694,New Jersey,04000US34,new-jersey,0.03132038774
8,"$45,000-$49,999",2020,2020,92714,2675,New Jersey,04000US34,new-jersey,0.028335107
9,"$50,000-$59,999",2020,2020,199515,3838,New Jersey,04000US34,new-jersey,0.060975461
10,"$60,000-$74,999",2020,2020,273508,4047,New Jersey,04000US34,new-jersey,0.083589085
11,"$75,000-$99,999",2020,2020,401811,4681,New Jersey,04000US34,new-jersey,0.1228008462
12,"$100,000-$124,999",2020,2020,332973,4556,New Jersey,04000US34,new-jersey,0.1017626848
13,"$125,000-$149,999",2020,2020,250856,4210,New Jersey,04000US34,new-jersey,0.076666216
14,"$150,000-$199,999",2020,2020,341209,4500,New Jersey,04000US34,new-jersey,0.1042797582
15,"$200,000+",2020,2020,485237,5386,New Jersey,04000US34,new-jersey,0.1482973692
